Date,Month,Accion,EV / Free Cashflow,EV / EBITDA,EV / Revenue,Total Liabilities / Total Assets,Long Term Liabilities / Total Assets,ROIC,Total Current Liabilities / Total Liabilities,ROE,PER,Sector,Year
2011-06-30,6,NWL,132.59614938268294,23.522387267887467,3.5695333037724786,0.6830322814653609,0.37501632208922747,0.04242410968504972,0.45095373635243635,0.06725655602420685,18.409169984242276,Consumer Defensive,2011
2011-03-31,3,NWL,-40.27565829374149,37.57753258587818,4.842435136243287,0.6928373410474297,0.39075212438980295,0.027891325459021205,0.4360117429596608,0.03719536163522013,41.78684569249111,Consumer Defensive,2011
2010-12-31,12,NWL,39.17312156373306,36.16919765329717,4.024654390280171,0.702511982264687,0.4424304872527438,0.028635054341248523,0.3702164540646251,0.039800210304942164,39.559682210286454,Consumer Defensive,2010
2010-09-30,9,NWL,36.30764346407558,2018.9643169130602,3.857454853194519,0.7149401844692704,0.4281452619402758,-0.009477453022254464,0.40114533881165776,0.015138547127420562,79.05596319602353,Consumer Defensive,2010
2010-06-30,6,NWL,42.38758566047156,19.537633691974595,3.2919646128504176,0.7107319674004113,0.4419833955365984,0.05133737036946235,0.3781292866941015,0.06879814287221694,18.975345700669866,Consumer Defensive,2010
2010-03-31,3,NWL,-2423.633607183184,29.15023238880118,3.8959205259374508,0.7170243605928834,0.4514268792568694,0.03205663995280004,0.3704162591022715,0.03222780199768225,39.1968267646568,Consumer Defensive,2010
2009-12-31,12,NWL,35.46854914338344,29.401287075505316,3.784346029097238,0.722567287784679,0.44866825448714953,0.031228175197046796,0.3790637051080423,0.03406982627761849,37.326635927560346,Consumer Defensive,2009
2009-09-30,9,NWL,18.078840467664932,24.978702110029445,3.626997186991163,0.7219814895897815,0.430374586686395,0.039290996707858204,0.40389803216294784,0.04652048533652538,29.191337263080435,Consumer Defensive,2009
2009-06-30,6,NWL,74.34893927863861,18.84249022916809,3.0099384445051465,0.7422283913131488,0.47242705531939505,0.04518319358366753,0.3635017727042506,0.05940872302158273,16.02548372655883,Consumer Defensive,2009
2009-03-31,3,NWL,-88.38451547032102,31.586597332016364,3.2009011334047646,0.7733768599209796,0.4931347549527839,0.01862660744599214,0.3623616369861773,0.020843641761504206,18.543024952551452,Consumer Defensive,2009
2008-12-31,12,NWL,24.76502844640535,-22.15024371703869,3.0062680070662227,0.7661244019138755,0.4372175193227825,-0.05794887706150504,0.42931263091143185,-0.16185372005044135,-8.873918367406063,Consumer Defensive,2008
2008-09-30,9,NWL,17.754833031534105,36.00410445128814,3.2316358025924714,0.6924761996610777,0.3998594712260447,0.02285819717501384,0.42256575544148667,0.024640473097083466,26.762080064235068,Consumer Defensive,2008
2008-06-30,6,NWL,-158.91480530457724,27.88113790505632,3.160707595504988,0.6954624781849912,0.3393886509069755,0.031113961442786067,0.511995741606783,0.04015802726404445,19.367355609239926,Consumer Defensive,2008
2008-03-31,3,NWL,-37.04858282150007,39.109500106525296,4.2172900303193215,0.687765411196536,0.36818951400260896,0.025342025525663395,0.4646582860832544,0.02529001288946175,34.05210645176155,Consumer Defensive,2008
2007-12-31,12,NWL,42.03554825412111,29.40551255749118,3.8849292085087277,0.6637238324679406,0.28008798575468735,0.04250548379234705,0.5780052304085129,0.04690072531482223,27.576454753050484,Consumer Defensive,2007
2007-09-30,9,NWL,27.952053932466914,26.67550343791331,4.015633185106371,0.6717341829767864,0.32287968441814596,0.051436335403726705,0.5193341464516421,0.0786651876502126,21.046648637964093,Consumer Defensive,2007
2007-06-30,6,NWL,57.197383664688964,25.20737913494427,4.118103519417391,0.6885878590319208,0.4658035549541792,0.055921132506131184,0.32353794966840094,0.07021182047104133,24.287511541690325,Consumer Defensive,2007
2007-03-31,3,NWL,-400.28028517665126,48.20407958547829,5.233366918302071,0.6964308619805027,0.4886640584915341,0.025919753239969152,0.29833083918498904,0.026039190830824486,47.435339774767264,Consumer Defensive,2007
2006-12-31,12,NWL,34.689226253268785,30.59244432924021,4.127048099598392,0.7004674748435148,0.3999207669756754,0.044376745366844376,0.4290659005044906,0.05406835255528516,29.377370304003026,Consumer Defensive,2006
2006-09-30,9,NWL,25.04394705842029,31.568675023732172,4.346887727875359,0.7202407455743041,0.40587431484239456,0.041198773213552614,0.4364740993391601,0.059546676911256244,27.449301890720495,Consumer Defensive,2006
2006-06-30,6,NWL,93.177508901986,28.581326322750826,4.099787583411538,0.7356212800465138,0.4372293709931606,0.04290013296941704,0.4056325138316902,0.06915909485502633,23.301423129165986,Consumer Defensive,2006
2006-03-31,3,NWL,-177.51188081019635,81.38710768249398,4.891955601055612,0.7396812936651228,0.4608054007378915,0.007556376729202199,0.37702169206605257,0.0330498763645136,35.43751849537403,Consumer Defensive,2006
2005-12-31,12,NWL,37.06702639716011,33.1413540964497,3.9338347660915343,0.7450861761375094,0.46625091140379454,0.03433393142912565,0.3742322346915406,0.04685978578383641,27.79124951574851,Consumer Defensive,2005
